a
aan
ab
abu
af
al
ap
av
bar
bat
bath
ben
bet
bij
bin
bint
bon
d'
da
dal
das
de
de
degli
dei
del
dela
dele
della
delle
delli
dello
den
der
di
dí
dos
du
e
el
fetch
fitz
gil
het
i
ibn
in
kil
la
le
lu
m'
mac
mala
mc
mck
mhic
mic
na
neder
ni
nin
nord
norr
ny
o
öfver
onder
op
ost
öst
øst
öster
over
över
öz
pour
s
san
santa
söder
st
ste
stor
te
ten
ter
to
tre
ua
ui'
uijt
uit
van
väst
väster
vel
vest
vetch
von
voor
woj
zu
